City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,100,NZ,1563577359,97,-46.19,168.86,48.0,5.99
Atuona,100,PF,1563577360,67,-9.8,-139.03,80.44,9.1
College,90,US,1563577363,45,64.86,-147.8,68.0,9.17
Longfeng,100,CN,1563577364,95,31.05,103.87,84.0,3.31
Hilo,75,US,1563577307,54,19.71,-155.08,84.2,10.29
Khatanga,52,RU,1563577236,44,71.98,102.47,69.64,8.72
Punta Arenas,75,CL,1563577367,82,-53.16,-70.91,35.6,16.11
Yarmouth,90,CA,1563577218,93,43.84,-66.12,61.0,8.05
Albany,75,US,1563577237,59,42.65,-73.75,90.0,4.7
Gobabis,0,NA,1563577158,53,-22.45,18.97,42.45,2.73
Mahebourg,75,MU,1563577373,78,-20.41,57.7,71.6,12.75
Kapaa,75,US,1563577374,70,22.08,-159.32,86.0,14.99
Farafenni,72,GM,1563577375,74,13.57,-15.6,75.75,9.84
Vaini,100,IN,1563577376,91,15.34,74.49,76.84,0.94
Ushuaia,40,AR,1563577107,55,-54.81,-68.31,39.2,8.05
Port Alfred,45,ZA,1563577162,86,-33.59,26.89,50.0,11.99
Broome,100,GB,1563577379,93,52.47,1.45,66.0,10.29
Puerto Ayora,75,EC,1563577380,73,-0.74,-90.35,73.4,13.87
Port Lincoln,0,AU,1563577382,55,-34.72,135.86,60.45,29.8
Norsup,40,VU,1563577383,78,-16.07,167.38,77.0,4.7
Kodiak,1,US,1563577164,20,39.95,-94.76,98.01,18.34
Pedernales,88,EC,1563577385,85,0.07,-80.05,73.77,10.76
Barrow,100,AR,1563577247,52,-38.31,-60.23,49.12,10.96
Saint-Philippe,1,CA,1563577194,70,45.36,-73.48,88.0,4.7
Lebu,75,ET,1563577388,93,8.96,38.73,53.6,4.7
Victoria,75,BN,1563577391,88,5.28,115.24,80.6,8.3
Rikitea,80,PF,1563577392,59,-23.12,-134.97,66.57,13.49
Jalu,0,LY,1563577393,46,29.03,21.55,77.92,12.03
Hermanus,29,ZA,1563577395,99,-34.42,19.24,48.99,16.93
Port Macquarie,0,AU,1563577396,65,-31.43,152.91,55.0,5.82
Naze,100,NG,1563577397,97,5.43,7.07,71.97,3.04
Ancud,20,CL,1563577400,81,-41.87,-73.83,42.8,11.41
Bubaque,99,GW,1563577285,79,11.28,-15.83,78.82,15.43
Port Elizabeth,1,US,1563577243,55,39.31,-74.98,93.99,8.05
Butaritari,65,KI,1563577403,68,3.07,172.79,84.94,8.34
Businga,66,CD,1563577404,95,3.34,20.89,70.0,3.11
Dunedin,100,NZ,1563577395,96,-45.87,170.5,48.99,18.01
Prince George,90,CA,1563577407,76,53.92,-122.75,60.01,2.24
Margate,75,AU,1563577409,81,-43.03,147.26,44.01,8.05
Hasaki,75,JP,1563577410,83,35.73,140.83,79.0,6.93
Kavaratti,100,IN,1563577214,74,10.57,72.64,82.6,23.55
Katsuura,75,JP,1563577412,100,33.93,134.5,77.0,1.12
Beringovskiy,100,RU,1563577413,80,63.05,179.32,55.24,7.38
Broken Hill,0,AU,1563577414,42,-31.97,141.45,44.6,9.17
Luanda,24,AO,1563577210,94,-8.83,13.24,69.8,5.82
Faanui,63,PF,1563577418,79,-16.48,-151.75,76.3,18.68
Anekal,40,IN,1563577419,100,12.71,77.7,71.6,12.75
Olinda,75,AU,1563577344,76,-37.84,145.39,54.0,34.45
Vao,10,EE,1563577422,95,59.1,26.19,55.24,5.44
Tuktoyaktuk,90,CA,1563577305,93,69.44,-133.03,50.0,10.29
Hutang,4,CN,1563577424,81,29.22,119.85,82.6,1.52
Jamestown,0,AU,1563577186,43,-33.21,138.6,56.14,17.38
Hithadhoo,93,MV,1563577427,76,-0.6,73.08,83.14,18.25
Tasiilaq,99,GL,1563577307,81,65.61,-37.64,46.4,8.05
