City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atuona,0,PF,1566338730,74,-9.8,-139.03,79.97,20.58
Quelimane,20,MZ,1566338731,77,-17.88,36.89,69.8,8.05
Hilo,40,US,1566338732,66,19.71,-155.08,84.2,4.7
Te Anau,100,NZ,1566338734,84,-45.41,167.72,38.21,3.91
Port Alfred,4,ZA,1566338735,92,-33.59,26.89,55.99,3.0
Teya,75,MX,1566338736,94,21.05,-89.07,81.0,5.82
Ruidoso,1,US,1566338737,46,33.33,-105.67,91.4,12.44
Busselton,0,AU,1566338738,65,-33.64,115.35,62.51,20.33
Porto Belo,75,BR,1566338739,72,-27.15,-48.54,60.8,4.7
Upernavik,100,GL,1566338742,86,72.79,-56.15,42.89,4.92
Ati,100,TD,1566338743,83,13.21,18.34,76.55,6.06
Punta Arenas,20,CL,1566338744,75,-53.16,-70.91,41.0,13.87
Sioux Lookout,40,CA,1566338521,49,50.1,-91.92,69.8,10.29
Saint-Augustin,5,CA,1566338746,39,45.63,-73.98,82.99,8.05
Airai,29,TL,1566338748,76,-8.93,125.41,65.75,5.01
Albany,20,US,1566338749,45,42.65,-73.75,86.0,6.93
Muros,0,ES,1566338750,82,42.77,-9.06,73.0,5.82
Butaritari,6,KI,1566338751,71,3.07,172.79,84.83,10.29
Nouadhibou,0,MR,1566338752,73,20.93,-17.03,73.4,20.8
New Norfolk,74,AU,1566338753,84,-42.78,147.06,42.01,3.0
Grand-Santi,3,GF,1566338756,95,4.27,-54.38,78.89,2.59
Tasiilaq,0,GL,1566338757,39,65.61,-37.64,48.2,11.41
Kapaa,40,US,1566338758,78,22.08,-159.32,84.0,13.87
Port Blair,100,IN,1566338759,81,11.67,92.75,83.03,21.39
Kumluca,0,TR,1566338760,64,36.37,30.29,61.97,3.36
Rock Sound,100,BS,1566338762,74,24.9,-76.2,83.39,10.83
Thompson,75,CA,1566338763,76,55.74,-97.86,57.2,11.41
East London,16,ZA,1566338764,92,-33.02,27.91,52.43,3.83
Bredasdorp,0,ZA,1566338766,87,-34.53,20.04,54.0,5.82
Ushuaia,0,AR,1566338769,60,-54.81,-68.31,42.8,6.93
Mataura,97,NZ,1566338576,75,-46.19,168.86,44.01,4.0
Nikolskoye,40,RU,1566338771,77,59.7,30.79,63.0,4.47
Bluff,0,AU,1566338772,54,-23.58,149.07,48.11,5.91
Faya,0,SA,1566338773,68,18.39,42.45,73.4,3.36
Iqaluit,20,CA,1566338775,53,63.75,-68.52,51.8,5.82
Avarua,0,CK,1566338631,88,-21.21,-159.78,77.0,3.36
Salinas,1,US,1566338675,53,36.67,-121.66,82.99,8.05
Djenne,100,ML,1566338778,64,13.91,-4.55,83.93,7.29
Norman Wells,20,CA,1566338779,41,65.28,-126.83,57.2,12.75
Saskylakh,100,RU,1566338780,85,71.97,114.09,48.29,10.27
Victoria,90,BN,1566338649,94,5.28,115.24,78.8,14.99
Castro,90,CL,1566338552,81,-42.48,-73.76,48.2,10.29
Narsaq,0,GL,1566338784,54,60.91,-46.05,55.4,6.93
Worland,1,US,1566338785,21,44.02,-107.96,93.99,8.05
Puerto Ayora,20,EC,1566338637,65,-0.74,-90.35,77.0,24.16
Mehamn,0,NO,1566338787,93,71.03,27.85,50.0,5.82
Broome,32,GB,1566338788,71,52.47,1.45,59.0,3.36
Kodiak,1,US,1566338789,74,39.95,-94.76,91.99,11.41
Kologriv,85,RU,1566338790,96,58.83,44.31,60.35,3.51
Barrow,19,AR,1566338793,53,-38.31,-60.23,46.31,3.65
Tilichiki,100,RU,1566338794,85,60.47,166.1,53.69,3.33
Adrar,0,DZ,1566338795,8,27.87,-0.29,98.6,13.87
Carnarvon,0,ZA,1566338796,28,-30.97,22.13,53.15,7.74
Coihaique,75,CL,1566338797,39,-45.58,-72.07,53.6,14.99
